Product Name,Generic Name,Company,Category,Strength,Pack Size,MRP,Selling Price,Stock,Batch Number,Expiry Date,Image URL
Anoxa,Oxazepam,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Tusca Plus,Diphenhydramine Hydrochloride + Guaiphenesin + Levomenthol,"Square Pharmaceuticals PLC, Pabna",Syrup,280 mg + 2000 mg + 22 mg/100 ml,,,,,,,
Nebita 5,Nebivolol,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Cerevas,Vinpocetine,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Tridil,Trifluoperazine,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Geston,Allystrenol,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Sedno,Desloratadine,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Deprex,Olanzapine,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Alatrol,Cetirizine Dihydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Purotrol,Levocetirizine Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
Z-DT,Zinc,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Amodis,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Suspension,200 mg/5 ml,,,,,,,
Moxacil,Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Powder,30%,,,,,,,
Moxacil,Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,250 mg/5 ml,,,,,,,
Anca,Cefprozil,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,250 mg/5 ml,,,,,,,
Dyvon,Betamethasone + Calcipotriol,"Square Pharmaceuticals PLC, Pabna",Ointment,.05 gm + .005 gm/100 gm,,,,,,,
Moxacil (Vet),Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Injection,1 gm,,,,,,,
Amodis,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Bolus,2 gm,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,100 mcg/Metered Inhalation,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,100 mcg/Metered Inhalation,,,,,,,
Moxacil,Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Bolus,875 mg,,,,,,,
Asmanyl,Theophylline,"Square Pharmaceuticals PLC, Pabna",Capsule,300 mg,,,,,,,
Olicod,Cod Liver Oil,"Square Pharmaceuticals PLC, Pabna",Capsule,300 mg,,,,,,,
Cef-3,Cefixime,"Square Pharmaceuticals PLC, Pabna",Capsule,200 mg,,,,,,,
Amodis,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Tablet,200 mg,,,,,,,
Sedno,Desloratadine,"Square Pharmaceuticals PLC, Pabna",Syrup,2.5 mg/5 ml,,,,,,,
Comet 1 gm,Metformin,"Square Pharmaceuticals PLC, Pabna",Tablet,1 gm,,,,,,,
Secnid,Secnidazole,"Square Pharmaceuticals PLC, Pabna",Tablet,1 gm,,,,,,,
Neurolep,Piracetam,"Square Pharmaceuticals PLC, Pabna",Tablet,800 mg,,,,,,,
Contifil,Theophylline,"Square Pharmaceuticals PLC, Pabna",Tablet,300 mg,,,,,,,
Revira,Valacyclovir,"Square Pharmaceuticals PLC, Pabna",Tablet,1 gm,,,,,,,
Amodis,Metronidazole,"Square Pharmaceuticals PLC, Pabna",Tablet,800 mg,,,,,,,
Phylopen,Flucloxacillin,"Square Pharmaceuticals PLC, Pabna",Injection,500 mg/vial,,,,,,,
